PDS Element,Justification
Target User Profile & Segmentation,"The primary target users are individuals with mobility impairments, including spinal cord injuries, muscular dystrophy, cerebral palsy, multiple sclerosis, and age-related mobility decline.; Users will be segmented into three primary groups to prioritize design efforts: (A) Primarily Indoor Users: requiring high maneuverability and basic obstacle negotiation. (B) Mixed Indoor/Outdoor Users: needing robust performance on paved surfaces, moderate inclines, and light uneven terrain. (C) Extensive Outdoor Users: demanding enhanced durability, weather resistance, and capability on varied outdoor surfaces. Market size data for each segment will be researched during the concept development phase.; The design will accommodate a broad anthropometric range: user weight capacity up to 150 kg, seat width 40-50 cm, seat depth 40-50 cm, backrest height 45-60 cm, seat-to-floor height 45-50 cm, and armrest height adjustable 18-25 cm from seat. Footrest adjustability will range from 35-50 cm in height and 0-15 degrees in angle.; For users with cognitive impairments, interfaces will feature a maximum of 5 primary function buttons, intuitive graphical displays, and pre-programmed route options. Validation of these simplified controls will involve structured usability testing with at least 10 target users.; Four to six diverse user personas will be developed, representing key user segments and their typical daily activities, challenges (e.g., navigating public transport, varied weather), and aspirations (e.g., maintaining independence). Personas will be validated through user interviews and focus groups."
Performance Requirements - Mobility,"The wheelchair must provide reliable mobility on: smooth indoor floors, paved outdoor pathways, and moderately uneven outdoor terrain (e.g., well-maintained grass, fine to medium gravel with particle size < 2 cm and void depth < 3 cm). Acceptable vibration levels during traversal of such terrain will be measured according to ISO 2631-1 and targeted to be below comfort thresholds.; Maximum speed will be user-selectable (3-10 km/h). Default profiles will be: Indoor (3-6 km/h), Mixed (5-8 km/h), and Outdoor (6-10 km/h), promoting immediate usability and safety.; The wheelchair must ascend sustained inclines up to 12 degrees at 4 km/h with maximum load, and short bursts up to 15 degrees at 2 km/h.; A minimum 'on-the-spot' turning radius (zero-turn capability) of less than 1.5 meters is required for all configurations and user weights within the specified limits.; The wheelchair must clear obstacles (curbs, thresholds) up to 5 cm in height at an approach angle of 10 degrees and a speed of 3 km/h, ensuring a smooth and safe transition.; Minimum ground clearance of 12 cm will be maintained under the main chassis, battery pack, and drive motors to prevent grounding."
Performance Requirements - Range & Battery,"The electric wheelchair shall provide a minimum operational range of 30 kilometers on a single full charge, tested on flat terrain at 6 km/h with a 75 kg user, ambient temperature of 20°C, and standard tire pressure. Range degradation will not exceed 15% over the battery's lifespan.; Battery technology will utilize Lithium Iron Phosphate (LiFePO4) chemistry, targeting a maximum battery pack weight of 18 kg to achieve the required energy capacity for a 30 km range. This weight is subject to feasibility assessment during detailed design.; Full charge time will be no more than 6 hours, and 80% charge in no more than 3 hours, achieved with a charging power of approximately 300W. Battery temperature during charging will be monitored and maintained within safe limits (e.g., 0-45°C).; The BMS will include safety features and achieve a minimum calendar life of 5 years, in addition to the specified cycle life. It will also monitor battery health and provide predictive maintenance alerts.; The battery pack will be designed for easy manual removal requiring no more than 200 N of force, with robust safety interlocks to prevent accidental discharge or damage. A visual indicator will confirm secure locking."
Ergonomics & Comfort,"Seating adjustments (lumbar, seat depth, backrest angle) will be achieved via accessible manual levers or powered actuators, designed for ease of use by individuals with limited dexterity.; Cushioning will utilize high-resilience recycled foam with a breathable Tencel blend fabric, engineered to achieve a Class 2 pressure distribution rating (<40 mmHg average pressure) across the specified user weight range.; Armrests will offer swing-away and flip-up functionality. Footrests will be flip-up type with adjustable height (35-50 cm) and angle (0-15 degrees).; The joystick control will offer adjustable sensitivity and a dead zone, with precision calibrated via a user-friendly interface. Responsiveness will be tuned for smooth, controlled movements.; Vibration levels will be maintained below ISO 2631-1:1997 comfort limits for typical daily use. Noise levels will not exceed 55 dB(A) at 6 km/h on a smooth surface, and peak levels will be managed to avoid startling users."
Safety Features,"Braking system: Electromagnetic brakes will provide a minimum deceleration of 1.2 m/s² on flat ground and hold the wheelchair stationary on a 12-degree incline. Stopping distance from 6 km/h on flat ground will be less than 1.5 meters. Response time will be < 100 ms.; Anti-tip wheels will deploy automatically if the wheelchair's tilt angle exceeds 8 degrees or upon detecting significant obstacle resistance at speed, preventing tip-over events. Manual override will be possible with moderate force.; A 5-point safety harness with durable, easy-to-use buckles and adjustable straps will be standard. Harness material strength will exceed 10 kN.; Integrated LED lighting: Front light (minimum 50 lux at 5m, broad beam pattern), rear lights (high visibility, >100m range).; Audible warning device: Horn with 85-95 dB(A) sound pressure level at 1m. Optional secondary chime for proximity alerts.; Emergency stop button: Prominently located, large, red, tactile button on the main control panel for immediate power cut-off.; Compliance with ISO 7176-1 (Stability), ISO 7176-3 (Braking performance), ISO 7176-7 (Structural strength), and ISO 7176-15 (EMC)."
Durability & Reliability,"Frame materials: Recycled aluminum alloys (e.g., 6061-T6) and reinforced composites, meeting minimum impact resistance of 50 J and corrosion resistance suitable for coastal environments (e.g., ASTM B117 salt spray).; Key component lifespan: Motors and control system targeted for 5 years/5,000 operating hours. Battery pack: 1000 cycles or 5 years calendar life, whichever comes first. Wear-and-tear items (tires, pads) designed for easy replacement.; Sealing: Critical components (motor housings, control electronics, battery connectors) will meet IP54 standards for dust and water ingress.; Modular design: Battery, motor assemblies, and control module will be designed as easily swappable modules, requiring minimal tools and time for replacement.; Target MTBF for critical electronic components: 2,000 operating hours. Warranty period: 2 years for the overall product, 1 year for the battery pack."
Sustainability & Environmental Impact,"Recycled content: Minimum 40% recycled aluminum in frame, 60% recycled plastics in non-structural components. Other materials (textiles, electronics) will be selected for recyclability. End-of-life recycling instructions will be provided.; Energy efficiency: Target consumption <15 Wh/km under standard test cycle (e.g., simulated urban driving).; Design for Disassembly (DFD): Utilizes common fasteners, minimizes adhesives, clearly marked materials. Eco-friendly coatings and finishes will be used. Consideration for bio-based materials for interior finishes.; Packaging: Minimized volume and weight (max 5% of product net weight), using recycled cardboard and biodegradable void fill. Reusable packaging options for bulk shipments will be explored.; Longevity and repairability: Product designed for a minimum service life of 7 years. A repairability score will be targeted during design and verified through testing."
Aesthetics & User Experience,"Aesthetic: Modern, minimalist design with clean lines, integrated components, and a sophisticated appearance. Visual references will be provided via mood boards and 3D renderings.; Color Palette: Base options include charcoal grey, forest green, slate blue. Limited range of vibrant accent colors (e.g., red, yellow) for customization.; User Interface: Intuitive design validated through usability testing (minimum 10 users, task completion time < 1 min for core functions, error rate < 5%).; User Experience: Surfaces designed for easy cleaning with standard agents. Folded dimensions will be specified for ease of transport. Design will avoid 'medical' connotations to foster confidence and self-expression."
Maintainability & Serviceability,"Tooling: Maximum of 5 unique tool types (e.g., 4mm, 5mm, 6mm Allen keys; 10mm, 13mm socket) required for routine maintenance and repairs.; Component Access: Detailed diagrams will illustrate access to battery, motors, control system, wheels, requiring no more than 15 minutes for each key component replacement.; Manuals: Digital and print versions of user and service manuals. Service manual includes troubleshooting guide for common issues (e.g., error code explanations, diagnostic flowcharts).; Diagnostics: Access to error codes, sensor readings, and motor performance data via a dedicated diagnostic port and interface (e.g., smartphone app or handheld device).; Target downtime for common repairs (e.g., wheel, battery swap): Maximum 1 hour."
Cost & Affordability,"Target retail price: $3,000 - $5,000 USD. Target Bill of Materials (BOM) cost: < $1,500 USD.; Material Selection: Prioritize cost-effective sustainable materials (e.g., recycled aluminum, bio-plastics where feasible) without compromising durability or safety.; Target annual ownership cost: < $200 USD (including energy and routine maintenance).; Modular Design: Base model includes essential features. Upgrade packages for enhanced seating, lighting, and connectivity will be offered at defined price points.; Regulatory Plan: Identify and pursue necessary certifications (CE, FDA) and documentation for insurance reimbursement and subsidies in North America and Western Europe."
